Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
99,Yore,Noun,கடந்த காலம்,प्राचीन काल (Praacheen Kaal),Legends of yore are often interesting.,கடந்த காலத்தின் புராணக்கதைகள் பெரும்பாலும் சுவாரஸ்யமானவை.,प्राचीन काल की किंवदंतियाँ अक्सर दिलचस्प होती हैं।,"Past, History, Antiquity",பழங்காலம்
100,Zeitgeist,Noun,காலத்தின் பொது மனநிலை,युग की भावना (Yug Ki Bhavna),The music captured the zeitgeist of the era.,இந்த இசை அந்த சகாப்தத்தின் காலத்தின் பொது மனநிலையைப் படம்பிடித்தது.,संगीत ने उस युग की भावना को कैद किया।,"Spirit of the age, Trend",காலத்தின் போக்கு
101,Amalgamate,Verb,இணை,मिलाना (Milaana),The two companies decided to amalgamate.,இரண்டு நிறுவனங்களும் இணைய முடிவு செய்தன.,दोनों कंपनियों ने मिलने का फैसला किया।,"Combine, Merge, Unite",ஒன்றிணைத்தல்
102,Bombastic,Adjective,ஆடம்பரமான,आडंबरपूर्ण (Aadambarpurn),His speech was too bombastic.,அவரது பேச்சு மிகவும் ஆடம்பரமானதாக இருந்தது.,उनका भाषण बहुत आडंबरपूर्ण था।,"Pompous, Grandiose, Inflated",பகட்டான / ஆரவாரமான
103,Cryptic,Adjective,மர்மமான,रहस्यमय (Rahasyamay),He left a cryptic message.,அவர் ஒரு மர்மமான செய்தியை விட்டுச் சென்றார்.,उन्होंने एक रहस्यमय संदेश छोड़ा।,"Mysterious, Secret, Obscure",புதிரான
104,Disseminate,Verb,பரப்பு,फैलाना (Phailaana),The news must disseminate quickly.,இந்தச் செய்தி விரைவாகப் பரப்பப்பட வேண்டும்.,खबर तेजी से फैलानी चाहिए।,"Spread, Circulate, Diffuse",பரப்புதல்
105,Egregious,Adjective,மிக மோசமான,जघन्य (Jaghhanya),It was an egregious error.,இது ஒரு மிக மோசமான தவறு.,यह एक जघन्य गलती थी।,"Shocking, Appalling, Terrible",மிக மோசமான
106,Furtive,Adjective,திருட்டுத்தனமான,गुप्त (Gupt),They exchanged furtive glances.,அவர்கள் திருட்டுத்தனமான பார்வைகளைப் பரிமாறிக் கொண்டனர்.,उन्होंने गुप्त नज़रें मिलाईं।,"Secretive, Sly, Stealthy",ரகசியமான / திருட்டுத்தனமான
107,Garrulous,Adjective,அதிகப் பேசும்,बातूनी (Baatooni),The garrulous host kept talking.,அதிகம் பேசும் தொகுப்பாளர் பேசிக் கொண்டே இருந்தார்.,बातूनी मेज़बान बात करता रहा।,"Talkative, Loquacious, Chatty",வளவளவென்று பேசும்
108,Heterogeneous,Adjective,பலவகைப்பட்ட,विषमांगी (Vishmaangi),The crowd was heterogeneous.,கூட்டம் பலவகைப்பட்டதாக இருந்தது.,भीड़ विषमांगी थी।,"Diverse, Varied, Mixed",பலதரப்பட்ட
109,Inchoate,Adjective,முழுமையற்ற,अपूर्ण (Apurna),The plan was still inchoate.,திட்டம் இன்னும் முழுமையற்றதாக இருந்தது.,योजना अभी भी अपूर्ण थी।,"Developing, Beginning, Nascent",ஆரம்ப நிலையில் உள்ள
110,Jettison,Verb,தூக்கி எறி,त्यागना (Tyaagna),They had to jettison the cargo.,அவர்கள் சரக்குகளை தூக்கி எறிய வேண்டியிருந்தது.,उन्हें माल को त्यागना पड़ा।,"Discard, Throw away, Reject",கைவிடுதல் / எறிந்துவிடுதல்
111,Knell,Noun,முடிவின் அறிகுறி,अंत का संकेत (Ant Ka Sanket),The defeat was the knell of his career.,அந்த தோல்வி அவரது வாழ்க்கையின் முடிவின் அறிகுறியாக இருந்தது.,हार उनके करियर के अंत का संकेत थी।,"Toll, Ring, Chime",சாவு மணி
112,Lugubrious,Adjective,சோகமான,उदास (Udaas),He had a lugubrious expression.,அவரிடம் ஒரு சோகமான வெளிப்பாடு இருந்தது.,उनका उदास भाव था।,"Mournful, Gloomy, Sad",துயரமான
113,Maelstrom,Noun,கொந்தளிப்பான நிலை,भंवर (Bhanvar),He was caught in a maelstrom of controversy.,அவர் சர்ச்சையின் கொந்தளிப்பான நிலையில் சிக்கினார்.,वह विवादों के भंवर में फंस गया था।,"Whirlpool, Turmoil, Chaos",பெரும் கொந்தளிப்பு
