English (V1/V2/V3),Day (Col B),Difficulty,Tamil (Infinitive/Past/Perfect),Hindi (Infinitive/Past/Perfect),English Examples (V1 // V2 // V3),Tamil Examples (V1 // V2 // V3),Hindi Examples (V1 // V2 // V3)
Banish / Banished / Banished,Day 13,Advanced,நாடுகடத்து / கடத்தினேன் / கடத்தியுள்ளேன்,निर्वासित करना / किया / कर चुका,1. Banish the fear. // 2. They banished him. // 3. He is banished.,1. வெளியேற்று (நாடு கடத்து). // 2. அவர்கள் அகற்றினர். // 3. அவர் நீக்கப்பட்டார்.,1. निकालना/निर्वासित। // 2. उन्होंने निकाला। // 3. वह निर्वासित है।
Banter / Bantered / Bantered,Day 14,Advanced,கேலி செய் / செய்தேன் / செய்துள்ளேன்,मज़ाक करना / किया / कर चुका,1. Banter with staff. // 2. They bantered. // 3. We have bantered.,1. வேடிக்கையாகப் பேசு. // 2. அவர்கள் கேலி செய்தனர். // 3. நாங்கள் கேலி செய்தோம்.,1. हँसी-मज़ाक करना। // 2. उन्होंने मज़ाक किया। // 3. हमने मज़ाक किया है।
Beget / Begot / Begotten,Day 14,Advanced,பெற்றிடு / பெற்றேன் / பெற்றுள்ளேன்,उत्पन्न करना / किया / कर चुका,1. Pigs beget pigs. // 2. He begot a son. // 3. War has begotten.,1. பெத்தெடு (உருவாக்கு). // 2. அவர் பெற்றார். // 3. போர் விளைந்தது.,1. पैदा करना। // 2. उसने जन्म दिया। // 3. हिंसा पैदा हुई है।
Beguile / Beguiled / Beguiled,Day 14,Advanced,ஏமாற்று (வசியப்படுத்தி) / ஏமாற்றினேன் / ஏமாற்றியுள்ளேன்,मोहित करना (या ठगना) / किया,1. Beguile the enemy. // 2. She beguiled me. // 3. I was beguiled.,1. வஞ்சி / மயக்கு. // 2. அவள் மயக்கினாள். // 3. நான் ஏமாற்றப்பட்டேன்.,1. जी बहलाना/ठगना। // 2. उसने फुसलाया। // 3. मुझे ठगा गया।
Belie / Belied / Belied,Day 14,Advanced,பொய்யாக்கு / ஆக்கினேன் / ஆக்கியுள்ளேன்,झुठलाना / झुठलाया / झुठला चुका,1. Actions belie words. // 2. He belied truth. // 3. It is belied.,1. பொய்ப்பி (முரணாக இரு). // 2. அவர் பொய்த்தார். // 3. அது பொய்க்கப்பட்டது.,1. झुठलाना। // 2. उसने झूठ साबित किया। // 3. सच झुठलाया गया है।
Belittle / Belittled / Belittled,Day 14,Advanced,மட்டம்தட்டு / தட்டினேன் / தட்டியுள்ளேன்,छोटा दिखाना / दिखाया / दिखा चुका,1. Belittle his work. // 2. He belittled me. // 3. I am belittled.,1. மட்டந்தட்டு. // 2. அவர் குறைத்து மதிப்பிட்டார். // 3. நான் இழிவுபடுத்தப்பட்டேன்.,1. छोटा समझना/नीचा। // 2. उसने मुझे नीचा दिखाया। // 3. मुझे कम आँका गया।
Bequeath / Bequeathed / Bequeathed,Day 15,Advanced,உயில் எழுதிவை / வைத்தேன் / வைத்துள்ளேன்,वसीयत में देना / दिया / दे चुका,1. Bequeath the land. // 2. He bequeathed. // 3. It is bequeathed.,1. உயிலாகக் கொடு. // 2. அவர் வழங்கினார். // 3. அது வழங்கப்பட்டது.,1. वसीयत में देना। // 2. उसने वसीयत की। // 3. वसीयत की गई है।
Berate / Berated / Berated,Day 15,Advanced,கடுமையாகக் கண்டி / கண்டித்தேன் / கண்டித்துள்ளேன்,ज़ोर से डाँटना / डाँटा / डाँट चुका,1. Berate the driver. // 2. She berated him. // 3. I was berated.,1. கடுமையாகத் திட்டு. // 2. அவள் திட்டினாள். // 3. நான் திட்டப்பட்டேன்.,1. बुरी तरह डाँटना। // 2. उसने डाँटा। // 3. मुझे डाँटा गया।
Beseech / Besought / Besought,Day 15,Advanced,மன்றாடிக் கேள் / கேட்டேன் / கேட்டுள்ளேன்,प्रार्थना करना / की / कर चुका,1. Beseech help. // 2. He besought me. // 3. I have besought.,1. கெஞ்சிப் பிரார்தி. // 2. அவர் கெஞ்சினார். // 3. நான் கெஞ்சினேன்.,1. विनती करना। // 2. उसने प्रार्थना की। // 3. मैंने विनती की है।
Beset / Beset / Beset,Day 15,Advanced,சூழ்ந்துகொள் / கொண்டேன் / கொண்டுள்ளேன்,घेर लेना / घेरा / घेर चुका,1. Fears beset him. // 2. It beset us. // 3. We are beset.,1. சூழ்ந்துகொள் (துன்பம்). // 2. அது சூழ்ந்தது. // 3. நாங்கள் சூழப்பட்டோம்.,1. घेर लेना। // 2. इसने घेरा। // 3. हम घिरे हुए हैं।
