Day Number,Difficulty,English,Tamil (தமிழ்),Hindi (हिंदी)
Day 137,beginner.,Is there anything else I should know?,நான் தெரிந்து கொள்ள வேண்டிய வேறு ஏதேனும் உண்டா? (Naan therindhu kolla vendiya veru edhenum undaa?),क्या कुछ और है जो मुझे जानना चाहिए? (Kya kuch aur hai jo mujhe jaanna chahiye?)
Day 137,beginner.,Do you have this in a larger size?,இது பெரிய அளவில் உங்களிடம் உள்ளதா? (Idhu periya alavil ungalidam ulladha?),क्या आपके पास यह बड़े साइज में है? (Kya aapke paas yeh bade size mein hai?)
Day 138,beginner.,I am not sure about that.,எனக்கு அதில் உறுதியாகத் தெரியவில்லை. (Enakku adhil urudhiyaagath theriyavillai.),मुझे उस बारे में पक्का नहीं पता। (Mujhe us baare mein pakka nahi pata.)
Day 138,beginner.,Please let me know if you need help.,உங்களுக்கு உதவி தேவைப்பட்டால் எனக்குத் தெரியப்படுத்துங்கள். (Ungalukku udhavi thevaippattaal enakku theriyappaduthungal.),अगर आपको मदद चाहिए तो कृपया मुझे बताएं। (Agar aapko madad chahiye toh kripaya mujhe batayein.)
Day 138,beginner.,I have already finished my work.,நான் ஏற்கனவே எனது வேலையை முடித்துவிட்டேன். (Naan erkkaneve enadhu velaiyai mudithuvitten.),मैंने पहले ही अपना काम पूरा कर लिया है। (Maine pehle hi apna kaam poora kar liya hai.)
Day 138,beginner.,What is the difference between these two?,இவை இரண்டிற்கும் என்ன வித்தியாசம்? (Ivai irandirkum enna vidhiyaasam?),इन दोनों के बीच क्या अंतर है? (In dono ke beech kya antar hai?)
Day 138,beginner.,I am thinking of buying a new car.,நான் ஒரு புதிய கார் வாங்க நினைக்கிறேன். (Naan oru pudhiya car vaanga ninaikkiren.),मैं एक नई कार खरीदने की सोच रहा हूँ। (Main ek nayi car khareedne ki soch raha hoon.)
Day 139,beginner.,Could you send me the details via email?,விவரங்களை எனக்கு மின்னஞ்சல் மூலம் அனுப்ப முடியுமா? (Vivarangalai enakku minnanjal moolam anuppa mudiyuma?),क्या आप मुझे विवरण ईमेल के ज़रिए भेज सकते हैं? (Kya aap mujhe vivaran email ke zariye bhej sakte hain?)
Day 139,beginner.,I will be there in ten minutes.,நான் பத்து நிமிடங்களில் அங்கு வந்துவிடுவேன். (Naan patthu nimidangalil angu vandhuviduven.),मैं दस मिनट में वहाँ पहुँच जाऊँगा। (Main das minat mein wahan pahunch jaoonga.)
Day 139,beginner.,It was a pleasure meeting you.,உங்களை சந்தித்ததில் மகிழ்ச்சி. (Ungalai sandhitthadhil magizhchi.),आपसे मिलकर खुशी हुई। (Aapse milkar khushi hui.)
Day 139,beginner.,I am not interested in this.,எனக்கு இதில் ஆர்வம் இல்லை. (Enakku adhil aarvam illai.),मुझे इसमें कोई दिलचस्पी नहीं है। (Mujhe ismein koi dilchaspi nahi hai.)
Day 139,beginner.,Can you show me the way to the park?,பூங்காவிற்கு செல்லும் வழியை எனக்குக் காட்ட முடியுமா? (Poongaavirkku sellum vazhiyai enakkuk kaatta mudiyuma?),क्या आप मुझे पार्क का रास्ता दिखा सकते हैं? (Kya aap mujhe park ka rasta dikha sakte hain?)
Day 140,beginner.,I have a lot of things to do today.,இன்று எனக்கு நிறைய வேலைகள் உள்ளன. (Indru enakku niraiya velaigall ullana.),आज मेरे पास करने के लिए बहुत सारे काम हैं। (Aaj mere paas karne ke liye bahut saare kaam hain.)
Day 140,beginner.,Do you have any suggestions?,உங்களிடம் ஏதேனும் ஆலோசனைகள் உள்ளனவா? (Ungalidam edhenum aalōsanaigal ullanavaa?),क्या आपके पास कोई सुझाव हैं? (Kya aapke paas koi sujhaav hain?)
Day 140,beginner.,I will call you as soon as I arrive.,நான் வந்தவுடன் உங்களுக்கு அழைக்கிறேன். (Naan vandhavudan ungalukku azhaikkiren.),मैं पहुँचते ही आपको कॉल करूँगा। (Main pahunchte hi aapko call karoonga.)
Day 140,beginner.,Is this the right way to the station?,இது ரயில் நிலையத்திற்கு செல்லும் சரியான வழியா? (Idhu rayil nilaiyathirkku sellum sariyaana vazhiya?),क्या यह स्टेशन जाने का सही रास्ता है? (Kya yeh station jaane ka sahi rasta hai?)
Day 140,beginner.,I need to renew my passport.,நான் எனது பாஸ்போர்ட்டை புதுப்பிக்க வேண்டும். (Naan enadhu passport-ai pudhuppikka vendum.),मुझे अपना पासपोर्ट रिन्यू कराना है। (Mujhe apna passport renew karana hai.)
Day 141,beginner.,How much does this cost per day?,இதற்கு ஒரு நாளைக்கு எவ்வளவு கட்டணம்? (Idharku oru naalaikku evvalavu kattanam?),इसका एक दिन का कितना खर्च है? (Iska ek din ka kitna kharch hai?)
Day 141,beginner.,I don't agree with your opinion.,உங்கள் கருத்தை நான் ஏற்கவில்லை. (Ungal karuthai naan erkkavillai.),मैं आपकी राय से सहमत नहीं हूँ। (Main aapki ray se sahmat nahi hoon.)
Day 141,beginner.,Can we reschedule the meeting?,கூட்டத்தை வேறொரு நேரத்திற்கு மாற்றலாமா? (Koottathai veroru nerathirkku maattralaama?),क्या हम मीटिंग का समय बदल सकते हैं? (Kya hum meeting ka samay badal sakte hain?)
Day 141,beginner.,I am very happy with the results.,முடிவுகளில் எனக்கு மிகவும் மகிழ்ச்சி. (Mudivugalil enakku migavum magizhchi.),मैं नतीजों से बहुत खुश हूँ। (Main natijon se bahut khush hoon.)
Day 141,beginner.,Could you please repeat the last sentence?,தயவுசெய்து கடைசி வாக்கியத்தை மீண்டும் சொல்ல முடியுமா? (Thayavuseidhu kadaisi vaakkiyathai meendum solla mudiyuma?),क्या आप कृपया आखिरी वाक्य फिर से बोल सकते हैं? (Kya aap kripaya aakhiri vakya phir se bol sakte hain?)
Day 142,beginner.,I am having trouble with the Wi-Fi.,வைஃபை இணைப்பில் எனக்கு சிக்கல் உள்ளது. (Wi-Fi inaippil enakku sikkal ulladhu.),मुझे वाई-फाई के साथ समस्या हो रही है। (Mujhe Wi-Fi ke saath samasya ho rahi hai.)
Day 142,beginner.,What is the deadline for this project?,இந்த திட்டத்திற்கான காலக்கெடு என்ன? (Indha thittathirkkaana kaalakkedu enna?),इस प्रोजेक्ट की समय सीमा (डेडलाइन) क्या है? (Is project ki samay seema kya hai?)
Day 142,beginner.,I will take care of it immediately.,நான் உடனே அதைக் கவனித்துக் கொள்கிறேன். (Naan udane adhaik kavanithuk kolgiren.),मैं तुरंत इसका ख्याल रखूँगा। (Main turant iska khayal rakhoonga.)
Day 142,beginner.,How do I fill out this form?,இந்த படிவத்தை நான் எப்படி நிரப்ப வேண்டும்? (Indha padivathai naan eppadi nirappa vendum?),मैं यह फॉर्म कैसे भरूँ? (Main yeh form kaise bharoon?)
Day 142,beginner.,It’s not as difficult as I thought.,நான் நினைத்தது போல இது அவ்வளவு கடினம் அல்ல. (Naan ninaithadhu pola idhu avvalavu kadinam alla.),यह उतना कठिन नहीं है जितना मैंने सोचा था। (Yeh utna kathin nahi hai jitna maine socha tha.)
Day 143,beginner.,Do you have a map of the city?,உங்களிடம் நகரத்தின் வரைபடம் உள்ளதா? (Ungalidam nagarathin varaipadam ulladha?),क्या आपके पास शहर का नक्शा है? (Kya aapke paas shehar ka naksha hai?)
Day 143,beginner.,I am looking forward to seeing you.,உங்களைச் சந்திக்க ஆவலாக இருக்கிறேன். (Ungalaich sandhikka aavalaaga irukkiren.),मैं आपसे मिलने के लिए उत्सुक हूँ। (Main aapse milne ke liye utsuk hoon.)
Day 143,beginner.,Could you explain the reason for this?,இதற்கான காரணத்தை விளக்க முடியுமா? (Idharkaana kaaranathai vilakka mudiyuma?),क्या आप इसका कारण समझा सकते हैं? (Kya aap iska kaaran samjha sakte hain?)
Day 143,beginner.,I am trying to improve my skills.,நான் எனது திறன்களை மேம்படுத்த முயற்சிக்கிறேன். (Naan enadhu thirangalai mempadutha muyarchikkiren.),मैं अपने कौशल में सुधार करने की कोशिश कर रहा हूँ। (Main apne kaushal mein sudhaar karne ki koshish kar raha hoon.)
Day 143,beginner.,What is the purpose of this meeting?,இந்தக் கூட்டத்தின் நோக்கம் என்ன? (Indha koottathin nokkam enna?),इस मीटिंग का उद्देश्य क्या है? (Is meeting ka uddeshya kya hai?)
Day 144,beginner.,I will reach out to you soon.,நான் விரைவில் உங்களைத் தொடர்பு கொள்கிறேன். (Naan viraivil ungalait thodarbu kolgiren.),मैं जल्द ही आपसे संपर्क करूँगा। (Main jald hi aapse sampark karoonga.)
Day 144,beginner.,Could you suggest a better alternative?,ஒரு சிறந்த மாற்றீட்டைப் பரிந்துரைக்க முடியுமா? (Oru sirandha maattreetaip parindhuraikka mudiyuma?),क्या आप किसी बेहतर विकल्प का सुझाव दे सकते हैं? (Kya aap kisi behtar vikalp ka sujhaav de sakte hain?)
Day 144,beginner.,It’s not possible to finish it today.,இன்று அதை முடிப்பது சாத்தியமில்லை. (Indru adhai mudippadhu saathiyamillai.),इसे आज खत्म करना संभव नहीं है। (Ise aaj khatm karna sambhav nahi hai.)
Day 144,beginner.,I am satisfied with your explanation.,உங்கள் விளக்கத்தில் எனக்குத் திருப்தி. (Ungal vilakkathil enakku thrupthi.),मैं आपके स्पष्टीकरण से संतुष्ट हूँ। (Main aapke spashtikaran se santusht hoon.)
Day 144,beginner.,Please let me know your decision.,உங்கள் முடிவை எனக்குத் தெரியப்படுத்துங்கள். (Ungal mudivai enakkuth theriyappaduthungal.),कृपया मुझे अपना निर्णय बताएं। (Kripaya mujhe apna nirnay batayein.)
Day 145,beginner.,I have some doubts about this plan.,இந்தத் திட்டத்தில் எனக்கு சில சந்தேகங்கள் உள்ளன. (Indha thittathil enakku sila sandhegangal ullana.),मुझे इस योजना के बारे में कुछ संदेह हैं। (Mujhe is yojana ke baare mein kuch sandeh hain.)
Day 145,beginner.,How long will it take to process?,இதைச் செயல்படுத்த எவ்வளவு நேரம் ஆகும்? (Idhaich seyalpadutha evvalavu neram aagum?),इसे प्रोसेस करने में कितना समय लगेगा? (Ise process karne mein kitna samay lagega?)
Day 145,beginner.,I would appreciate your feedback.,உங்கள் கருத்துக்களை நான் பாராட்டுகிறேன். (Ungal karuthukkalai naan paaraattugiren.),मैं आपकी प्रतिक्रिया की सराहना करूँगा। (Main aapki pratikriya ki sarahna karoonga.)
Day 145,beginner.,We need to find a solution quickly.,நாம் விரைவில் ஒரு தீர்வைக்காண வேண்டும். (Naam viraivil oru theervaikaana vendum.),हमें जल्दी से समाधान ढूँढना होगा। (Humein jaldi se samadhan dhoondhna hoga.)
Day 145,beginner.,I am looking for a permanent job.,நான் ஒரு நிரந்தர வேலையைத் தேடுகிறேன். (Naan oru nirandhara velaiyaith thedugiren.),मैं एक स्थायी नौकरी की तलाश में हूँ। (Main ek sthayi naukri ki talash mein hoon.)
Day 146,beginner.,Could you double-check the figures?,எண்களை மீண்டும் ஒருமுறை சரிபார்க்க முடியுமா? (Engalai meendum orumurai saripaarkka mudiyuma?),क्या आप आंकड़ों की दोबारा जांच कर सकते हैं? (Kya aap aankdon ki dobara jaanch kar sakte hain?)
Day 146,beginner.,It is better to wait for a while.,சிறிது நேரம் காத்திருப்பது நல்லது. (Siridhu neram kaathiruppadhu nalladhu.),थोड़ी देर इंतज़ार करना बेहतर है। (Thodi der intezar karna behtar hai.)
Day 146,beginner.,I am working on a new project.,நான் ஒரு புதிய திட்டத்தில் பணியாற்றுகிறேன். (Naan oru pudhiya thittathil paniyattrugiren.),मैं एक नए प्रोजेक्ट पर काम कर रहा हूँ। (Main ek naye project par kaam kar raha hoon.)
Day 146,beginner.,What are the requirements for this?,இதற்கான தேவைகள் என்ன? (Idharkaana thevaigal enna?),इसके लिए क्या आवश्यकताएं हैं? (Iske liye kya aavashyaktaein hain?)
Day 146,beginner.,I didn't expect this to happen.,இது நடக்கும் என்று நான் எதிர்பார்க்கவில்லை. (Idhu nadakkum endru naan edhirpaarkkavillai.),मैंने इसके होने की उम्मीद नहीं की थी। (Maine iske hone ki ummeed nahi ki thi.)
Day 147,beginner.,Please keep me updated on this.,இது குறித்து எனக்குத் தகவல்களைத் தாருங்கள். (Idhu kurithu enakkuth thagavalgalait thaarungal.),कृपया मुझे इस बारे में अपडेट रखें। (Kripaya mujhe is baare mein update rakhein.)
Day 147,beginner.,It was a very productive discussion.,இது மிகவும் பயனுள்ள விவாதம். (Idhu migavum payanulla vivaadham.),यह बहुत ही उत्पादक चर्चा थी। (Yeh bahut hi utpadak charcha thi.)
Day 147,beginner.,I am not authorized to do that.,அதைச் செய்ய எனக்கு அதிகாரம் இல்லை. (Adhaich seyya enakku adhikaram illai.),मैं ऐसा करने के लिए अधिकृत नहीं हूँ। (Main aisa karne ke liye adhikrit nahi hoon.)
Day 147,beginner.,Could you clarify this point?,இந்த விஷயத்தை விளக்க முடியுமா? (Indha vishayathai vilakka mudiyuma?),क्या आप इस बिंदु को स्पष्ट कर सकते हैं? (Kya aap is bindu ko spasht kar sakte hain?)
Day 147,beginner.,I have already sent the documents.,நான் ஏற்கனவே ஆவணங்களை அனுப்பிவிட்டேன். (Naan erkkaneve aavanangalai anuppivitten.),मैंने पहले ही दस्तावेज़ भेज दिए हैं। (Maine pehle hi dastavez bhej diye hain.)
Day 148,beginner.,What is the current status of it?,அதன் தற்போதைய நிலை என்ன? (Adhan tharpodhaiya nilai enna?),इसकी वर्तमान स्थिति क्या है? (Iski vartaman sthiti kya hai?)
Day 148,beginner.,I will try my best to help you.,உங்களுக்கு உதவ நான் என்னால் முடிந்தவரை முயற்சிப்பேன். (Ungalukku udhava naan ennaal mudindhavarai muyarchippen.),मैं आपकी मदद करने की पूरी कोशिश करूँगा। (Main aapki madad karne ki poori koshish karoonga.)
Day 148,beginner.,I am responsible for this department.,இந்தத் துறைக்கு நான் தான் பொறுப்பு. (Indha thuraikku naan dhaan poruppu.),मैं इस विभाग के लिए ज़िम्मेदार हूँ। (Main is vibhag ke liye zimmedar hoon.)
Day 148,beginner.,Could you recommend a good lawyer?,ஒரு நல்ல வழக்கறிஞரைப் பரிந்துரைக்க முடியுமா? (Oru nalla vazhakkaringaraip parindhuraikka mudiyuma?),क्या आप किसी अच्छे वकील का सुझाव दे सकते हैं? (Kya aap kisi acche vakeel ka sujhaav de sakte hain?)
Day 148,beginner.,I have some experience in this field.,எனக்கு இந்தத் துறையில் கொஞ்சம் அனுபவம் உள்ளது. (Enakku indha thuraiyil konjam anubavam ulladhu.),मुझे इस क्षेत्र में कुछ अनुभव है। (Mujhe is kshetra mein kuch anubhav hai.)
Day 149,beginner.,We should consider all the options.,நாம் அனைத்து விருப்பங்களையும் பரிசீலிக்க வேண்டும். (Naam anaithu viruppangalaip pariseelikka vendum.),हमें सभी विकल्पों पर विचार करना चाहिए। (Humein sabhi vikalpon par vichaar karna chahiye.)
Day 149,beginner.,I will get back to you by evening.,நான் மாலைக்குள் உங்களைத் தொடர்பு கொள்கிறேன். (Naan maalaikkul ungalait thodarbu kolgiren.),मैं शाम तक आपसे संपर्क करूँगा। (Main shaam tak aapse sampark karoonga.)
Day 149,beginner.,It’s a very challenging task.,இது மிகவும் சவாலான பணி. (Idhu migavum savaalaana pani.),यह बहुत ही चुनौतीपूर्ण कार्य है। (Yeh bahut hi chunautipoorna karya hai.)
Day 149,beginner.,I agree with your proposal.,உங்கள் முன்மொழிவை நான் ஏற்கிறேன். (Ungal munmozhivai naan erkkiren.),मैं आपके प्रस्ताव से सहमत हूँ। (Main aapke prastav se sahmat hoon.)
Day 149,beginner.,How do I get a refund?,பணத்தைத் திரும்பப் பெறுவது எப்படி? (Panathaith thirumbap peruvadhu eppadi?),मुझे रिफंड कैसे मिलेगा? (Mujhe refund kaise milega?)
Day 150,beginner.,I would like to cancel my order.,எனது ஆர்டரை ரத்து செய்ய விரும்புகிறேன். (Enadhu order-ai rathu seyya virumbugiren.),मैं अपना ऑर्डर रद्द करना चाहता हूँ। (Main apna order radd karna chahta hoon.)
Day 150,beginner.,What are the terms and conditions?,விதிமுறைகள் மற்றும் நிபந்தனைகள் என்ன? (Vidhimuraigal mattrum nidhandhanaigal enna?),नियम और शर्तें क्या हैं? (Niyam aur shartein kya hain?)
Day 150,beginner.,I am looking for a reliable person.,நான் ஒரு நம்பகமான நபரைத் தேடுகிறேன். (Naan oru nambagamaana nabaraith thedugiren.),मैं एक भरोसेमंद व्यक्ति की तलाश में हूँ। (Main ek bharosemand vyakti ki talash mein hoon.)
Day 150,beginner.,Could you please lower the price?,தயவுசெய்து விலையைக் குறைக்க முடியுமா? (Thayavuseidhu vilaiyaik kuraikka mudiyuma?),क्या आप कृपया कीमत कम कर सकते हैं? (Kya aap kripaya keemat kam kar sakte hain?)
Day 150,beginner.,I will confirm the meeting tomorrow.,நான் நாளை கூட்டத்தை உறுதிப்படுத்துகிறேன். (Naan naalai koottathai urudhippadutthugiren.),मैं कल मीटिंग की पुष्टि करूँगा। (Main kal meeting ki pushti karoonga.)
Day 151,beginner.,It’s not fair to say that.,அப்படிச் சொல்வது சரியல்ல. (Appadich solvadhu sariyalla.),ऐसा कहना उचित नहीं है। (Aisa kehna uchit nahi hai.)
Day 151,beginner.,I am impressed by your work.,உங்கள் வேலையைக் கண்டு நான் வியக்கிறேன். (Ungal velaiyaik kandu naan viyakkiren.),मैं आपके काम से प्रभावित हूँ। (Main aapke kaam se prabhavit hoon.)
Day 151,beginner.,Could you explain it once more?,இதை மீண்டும் ஒருமுறை விளக்க முடியுமா? (Idhai meendum orumurai vilakka mudiyuma?),क्या आप इसे एक बार और समझा सकते हैं? (Kya aap ise ek baar aur samjha sakte hain?)
Day 151,beginner.,I need to consult with my manager.,நான் எனது மேலாளரிடம் ஆலோசனை செய்ய வேண்டும். (Naan enadhu melaalaridam aalosana seyya vendum.),मुझे अपने मैनेजर से सलाह लेनी होगी। (Mujhe apne manager se salah leni hogi.)
Day 151,beginner.,What is the warranty period?,உத்தரவாதக் காலம் எவ்வளவு? (Uttharavaadhak kaalam evvalavu?),वारंटी की अवधि क्या है? (Warranty ki avdhi kya hai?)
Day 152,beginner.,I am trying to save some money.,நான் கொஞ்சம் பணத்தைச் சேமிக்க முயற்சிக்கிறேன். (Naan konjam panathaich semikka muyarchikkiren.),मैं कुछ पैसे बचाने की कोशिश कर रहा हूँ। (Main kuch paise bachane ki koshish kar raha hoon.)
Day 152,beginner.,Could you please send me the invoice?,தயவுசெய்து எனக்கு விலைப்பட்டியல் அனுப்ப முடியுமா? (Thayavuseidhu enakku vilaippattiyal anuppa mudiyuma?),क्या आप कृपया मुझे इनवॉइस भेज सकते हैं? (Kya aap kripaya mujhe invoice bhej sakte hain?)
Day 152,beginner.,I will be available after 3 PM.,நான் மாலை 3 மணிக்கு மேல் இருப்பேன். (Naan maalai 3 manikku mel iruppen.),मैं दोपहर 3 बजे के बाद उपलब्ध रहूँगा। (Main dopahar 3 baje ke baad uplabdh rahoonga.)
Day 152,beginner.,It’s a matter of great importance.,இது மிகவும் முக்கியமான விஷயம். (Idhu migavum mukkiyamaana vishayam.),यह बहुत महत्व का मामला है। (Yeh bahut mahatva ka mamla hai.)
Day 152,beginner.,I am not satisfied with the service.,இந்தச் சேவையில் எனக்குத் திருப்தி இல்லை. (Indhach sevaiyil enakku thrupthi illai.),मैं सेवा से संतुष्ट नहीं हूँ। (Main seva se santusht nahi hoon.)
Day 153,beginner.,What is the procedure for this?,இதற்கான நடைமுறை என்ன? (Idharkaana nadaimurai enna?),इसके लिए क्या प्रक्रिया है? (Iske liye kya prakriya hai?)
Day 153,beginner.,I will follow up with you later.,நான் பிறகு உங்களிடம் தொடர்பில் இருப்பேன். (Naan piragu ungalidam thodarbil iruppen.),मैं बाद में आपसे फॉलो-अप लूँगा। (Main baad mein aapse follow-up loonga.)
Day 153,beginner.,Can you provide a detailed report?,விரிவான அறிக்கையை வழங்க முடியுமா? (Virivaana arikkaiyai vazhanga mudiyuma?),क्या आप विस्तृत रिपोर्ट दे सकते हैं? (Kya aap vistrit report de sakte hain?)
Day 153,beginner.,I am looking for a long-term solution.,நான் நீண்ட கால தீர்வைத் தேடுகிறேன். (Naan neenda kaala theervaith thedugiren.),मैं दीर्घकालिक समाधान की तलाश में हूँ। (Main deerghkalik samadhan ki talash mein hoon.)
Day 153,beginner.,What are the benefits of this plan?,இந்தத் திட்டத்தின் நன்மைகள் என்ன? (Indha thittathin nanmaigal enna?),इस योजना के क्या लाभ हैं? (Is yojana ke kya laabh hain?)
Day 154,beginner.,I need to prioritize my tasks.,நான் எனது பணிகளுக்கு முன்னுரிமை அளிக்க வேண்டும். (Naan enadhu panigalukku munnurimai alikka vendum.),मुझे अपने कार्यों को प्राथमिकता देने की आवश्यकता है। (Mujhe apne karyon ko prathmikta dene ki avashyakta hai.)
Day 154,beginner.,Could you summarize the discussion?,விவாதத்தைச் சுருக்கமாகக் கூற முடியுமா? (Vivaadhathaich surukkamaagak koora mudiyuma?),क्या आप चर्चा का सारांश दे सकते हैं? (Kya aap charcha ka saaransh de sakte hain?)
Day 154,beginner.,I am not comfortable with this decision.,இந்த முடிவில் எனக்கு உடன்பாடு இல்லை. (Indha mudivil enakku udanpaadu illai.),मैं इस फैसले से सहज नहीं हूँ। (Main is faisle se sahaj nahi hoon.)
Day 154,beginner.,How do we measure the progress?,முன்னேற்றத்தை நாம் எப்படி அளவிடுவது? (Munnetrathai naam eppadi alaviduvadhu?),हम प्रगति को कैसे मापते हैं? (Hum pragati ko kaise maapte hain?)
Day 154,beginner.,I will take full responsibility for this.,இதற்கு நான் முழு பொறுப்பேற்கிறேன். (Idharkku naan muzhu porupperkkiren.),मैं इसकी पूरी जिम्मेदारी लूँगा। (Main iski poori zimmedari loonga.)
Day 155,beginner.,Please verify the information once more.,தகவலை மீண்டும் ஒருமுறை சரிபார்க்கவும். (Thagavalai meendum orumurai saripaarkkavum.),कृपया जानकारी की एक बार फिर से जांच करें। (Kripaya jankari ki ek baar phir se jaanch karein.)
Day 155,beginner.,It’s a great opportunity for us.,இது நமக்கு ஒரு சிறந்த வாய்ப்பு. (Idhu namakku oru sirandha vaippu.),यह हमारे लिए एक शानदार अवसर है। (Yeh hamare liye ek shaandaar avsar hai.)
Day 155,beginner.,I have a conflicting schedule today.,இன்று எனக்கு வேலைப்பளு அதிகமாக உள்ளது. (Indru enakku velaippalu adhigamaaga ulladhu.),आज मेरा शेड्यूल व्यस्त है। (Aaj mera schedule vyast hai.)
Day 155,beginner.,Could you guide me through the process?,இந்த நடைமுறையில் எனக்கு வழிகாட்ட முடியுமா? (Indha nadaimuraiyil enakku vazhikaatta mudiyuma?),क्या आप प्रक्रिया में मेरा मार्गदर्शन कर सकते हैं? (Kya aap prakriya mein mera maargdarshan kar sakte hain?)
Day 155,beginner.,I am confident about our success.,நமது வெற்றியில் எனக்கு நம்பிக்கை உள்ளது. (Namadhu vetriyil enakku nambikkai ulladhu.),मुझे हमारी सफलता पर भरोसा है। (Mujhe hamari safalta par bharosa hai.)
Day 156,beginner.,What is the estimated budget for this?,இதற்கான மதிப்பிடப்பட்ட பட்ஜெட் என்ன? (Idharkaana madhippidappatta budget enna?),इसके लिए अनुमानित बजट क्या है? (Iske liye anumanit budget kya hai?)
Day 156,beginner.,I need to update the software.,நான் மென்பொருளைப் புதுப்பிக்க வேண்டும். (Naan menporulaip pudhuppikka vendum.),मुझे सॉफ़्टवेयर अपडेट करना होगा। (Mujhe software update karna hoga.)
Day 156,beginner.,Could you please share your perspective?,உங்கள் கருத்தைப் பகிர்ந்து கொள்ள முடியுமா? (Ungal karutthaip pagirndhu kolla mudiyuma?),क्या आप अपना दृष्टिकोण साझा कर सकते हैं? (Kya aap apna drishtikon sajha kar sakte hain?)
Day 156,beginner.,I am trying to balance work and life.,நான் வேலை மற்றும் வாழ்க்கையை சமநிலைப்படுத்த முயல்கிறேன். (Naan velai mattrum vaazhkkaiyai samalaipadutha muyalgiren.),मैं काम और जीवन में संतुलन बनाने की कोशिश कर रहा हूँ। (Main kaam aur jeevan mein santulan banane ki koshish kar raha hoon.)
Day 156,beginner.,Is there any alternative solution?,மாற்றுத் தீர்வு ஏதேனும் உள்ளதா? (Maattruth theervu edhenum ulladha?),क्या कोई वैकल्पिक समाधान है? (Kya koi vaikalpik samadhan hai?)
Day 157,beginner.,I will send you the invite shortly.,விரைவில் அழைப்பை உங்களுக்கு அனுப்புகிறேன். (Viraivil azhaippai ungalukku anuppugiren.),मैं आपको जल्द ही आमंत्रण भेजूँगा। (Main aapko jald hi amantran bhejunga.)
Day 157,beginner.,It was a misunderstanding from my side.,அது எனது தரப்பிலிருந்து ஏற்பட்ட தவறு. (Adhu enadhu tharappilirundhu erppatta thavaru.),यह मेरी तरफ से एक गलतफहमी थी। (Yeh meri taraf se ek galatfahami thi.)
Day 157,beginner.,Could you please hold for a moment?,தயவுசெய்து ஒரு நிமிடம் காத்திருக்க முடியுமா? (Thayavuseidhu oru nimidam kaathirukka mudiyuma?),क्या आप कृपया एक क्षण के लिए रुक सकते हैं? (Kya aap kripaya ek kshan ke liye ruk sakte hain?)
Day 157,beginner.,I am dealing with a difficult situation.,நான் ஒரு கடினமான சூழ்நிலையை எதிர்கொள்கிறேன். (Naan oru kadinaana soozhnilaiyai edhirkolgiren.),मैं एक कठिन परिस्थिति का सामना कर रहा हूँ। (Main ek kathin paristithi ka saamna kar raha hoon.)
Day 157,beginner.,What are the risks involved here?,இதில் உள்ள அபாயங்கள் என்ன? (Idhil ulla abaayangal enna?),इसमें क्या जोखिम शामिल हैं? (Ismein kya jokhim shamil hain?)
Day 158,beginner.,I will review the documents tonight.,ஆவணங்களை இன்று இரவு ஆய்வு செய்கிறேன். (Aavanangalai indru iravu aaivu seigiren.),मैं आज रात दस्तावेजों की समीक्षा करूँगा। (Main aaj raat dastavezon ki sameeksha karoonga.)
Day 158,beginner.,Can you recommend a reliable source?,நம்பகமான ஆதாரத்தைப் பரிந்துரைக்க முடியுமா? (Nambagamaana aadhaarathaip parindhuraikka mudiyuma?),क्या आप किसी विश्वसनीय स्रोत का सुझाव दे सकते हैं? (Kya aap kisi vishwasniya srot ka sujhaav de sakte hain?)
Day 158,beginner.,I am attending a training session.,நான் ஒரு பயிற்சி வகுப்பில் கலந்து கொள்கிறேன். (Naan oru payirchi vakuppil kalandhu kolgiren.),मैं एक प्रशिक्षण सत्र में भाग ले रहा हूँ। (Main ek prashikshan satra mein bhaag le raha hoon.)
Day 158,beginner.,Could you clarify the terms of use?,பயன்பாட்டு விதிமுறைகளை விளக்க முடியுமா? (Payanpaattu vidhimuraigalai vilakka mudiyuma?),क्या आप उपयोग की शर्तों को स्पष्ट कर सकते हैं? (Kya aap upyog ki sharton ko spasht kar sakte hain?)
Day 158,beginner.,I need to improve my communication skills.,எனது தகவல் தொடர்புத் திறனை மேம்படுத்த வேண்டும். (Enadhu thagaval thodarbuth thiranai mempadutha vendum.),मुझे अपने संचार कौशल में सुधार करने की आवश्यकता है। (Mujhe apne sanchar kaushal mein sudhaar karne ki avashyakta hai.)
Day 159,beginner.,What is the vision of the company?,நிறுவனத்தின் தொலைநோக்கு பார்வை என்ன? (Niruvanathin tholainokku paarvai enna?),कंपनी का दृष्टिकोण (विज़न) क्या है? (Company ka drishtikon kya hai?)
Day 159,beginner.,I am looking for creative ideas.,நான் ஆக்கப்பூர்வமான யோசனைகளைத் தேடுகிறேன். (Naan aakkappoovamaana yōsanaigalait thēdugirēn.),मैं रचनात्मक विचारों की तलाश में हूँ। (Main rachnatmak vicharon ki talash mein hoon.)
Day 159,beginner.,Could you please sign this document?,தயவுசெய்து இந்த ஆவணத்தில் கையெழுத்திடுங்கள். (Thayavuseidhu indha aavanathil kaiyezhuthidungal.),कृपया इस दस्तावेज़ पर हस्ताक्षर करें। (Kripaya is dastavez par hastakshar karein.)
